name,dataset,model,k,percent,n_check,T_stop,ari
percent,mice,1,25,0.125,3,3,0.18136090665252608
percent,mice,1,25,0.15,3,3,0.17948698692905618
percent,mice,1,25,0.175,3,3,0.21224021085058087
percent,mice,1,25,0.2,3,3,0.2259089995164639
percent,mice,1,25,0.225,3,3,0.18281800637717244
percent,mice,1,25,0.25,3,3,0.1554961432349054
n_check,mice,1,25,0.1,2,3,0.2283848034127746
n_check,mice,1,25,0.1,3,3,0.21291265981137705
n_check,mice,1,25,0.1,4,3,0.2380775852608446
n_check,mice,1,25,0.1,5,3,0.2459291606862751
n_check,mice,1,25,0.1,6,3,0.246348669218416
n_check,mice,1,25,0.1,7,3,0.22344302309361744
T_stop,mice,1,25,0.1,3,3,0.21291265981137705
T_stop,mice,1,25,0.1,3,5,0.21451606483510177
T_stop,mice,1,25,0.1,3,7,0.21180828725829243
T_stop,mice,1,25,0.1,3,9,0.20965521143868335
T_stop,mice,1,25,0.1,3,11,0.2150158313349261
T_stop,mice,1,25,0.1,3,13,0.2118188945079058
k,optdigits,1,5,0.1,3,3,0.8937355974605196
k,optdigits,1,15,0.1,3,3,0.8968733299096562
k,optdigits,1,25,0.1,3,3,0.894022773151963
k,optdigits,1,35,0.1,3,3,0.8954455718920279
k,optdigits,1,45,0.1,3,3,0.8733805634620919
percent,optdigits,1,25,0.05,3,3,0.8724198353756482
percent,optdigits,1,25,0.075,3,3,0.8727689588503093
percent,optdigits,1,25,0.1,3,3,0.894022773151963
percent,optdigits,1,25,0.125,3,3,0.8954751653675618
percent,optdigits,1,25,0.15,3,3,0.8941668306633995
percent,optdigits,1,25,0.175,3,3,0.892928025454391
percent,optdigits,1,25,0.2,3,3,0.8917276074271555
percent,optdigits,1,25,0.225,3,3,0.8910596600380188
percent,optdigits,1,25,0.25,3,3,0.8914148231595508
n_check,optdigits,1,25,0.1,2,3,0.8962861481145753
n_check,optdigits,1,25,0.1,3,3,0.894022773151963
n_check,optdigits,1,25,0.1,4,3,0.8962017884076423
n_check,optdigits,1,25,0.1,5,3,0.896842932296693
n_check,optdigits,1,25,0.1,6,3,0.898281561045885
n_check,optdigits,1,25,0.1,7,3,0.8902718168543517
T_stop,optdigits,1,25,0.1,3,3,0.894022773151963
T_stop,optdigits,1,25,0.1,3,5,0.8961440542845713
T_stop,optdigits,1,25,0.1,3,7,0.8957136293941796
T_stop,optdigits,1,25,0.1,3,9,0.8947855601774247
T_stop,optdigits,1,25,0.1,3,11,0.8938861291192371
T_stop,optdigits,1,25,0.1,3,13,0.8936985356879252
k,HAR,1,5,0.1,3,3,0.5076717767218782
k,HAR,1,15,0.1,3,3,0.5070312484226832
k,HAR,1,25,0.1,3,3,0.5351600772534081
k,HAR,1,35,0.1,3,3,0.5096685921095558
k,HAR,1,45,0.1,3,3,0.545274082717034
percent,HAR,1,25,0.05,3,3,0.5074337745157251
percent,HAR,1,25,0.075,3,3,0.5233819001485318
percent,HAR,1,25,0.1,3,3,0.5351600772534081
percent,HAR,1,25,0.125,3,3,0.5123250896532088
percent,HAR,1,25,0.15,3,3,0.48714222956068476
percent,HAR,1,25,0.175,3,3,0.48864036767669383
percent,HAR,1,25,0.2,3,3,0.48643153653084786
percent,HAR,1,25,0.225,3,3,0.4987765625426146
percent,HAR,1,25,0.25,3,3,0.49680283922574003
n_check,HAR,1,25,0.1,2,3,0.5204084404794067
n_check,HAR,1,25,0.1,3,3,0.5351600772534081
n_check,HAR,1,25,0.1,4,3,0.5298521925508928
