name,dataset,model,k,percent,n_check,T_stop,ari
T_stop,HAR,4,25,0.1,3,3,0.41126538078440894
T_stop,HAR,4,25,0.1,3,5,0.41425152902500945
T_stop,HAR,4,25,0.1,3,7,0.4041618768589138
T_stop,HAR,4,25,0.1,3,9,0.40240379241549235
T_stop,HAR,4,25,0.1,3,11,0.405429070738104
T_stop,HAR,4,25,0.1,3,13,0.4090418231746145
k,USPS,4,5,0.1,3,3,0.7398103659255315
k,USPS,4,15,0.1,3,3,0.7160972628960154
k,USPS,4,25,0.1,3,3,0.7339004779761418
k,USPS,4,35,0.1,3,3,0.7270375120660402
k,USPS,4,45,0.1,3,3,0.735604625799876
percent,USPS,4,25,0.05,3,3,0.7305271325040352
percent,USPS,4,25,0.075,3,3,0.738994219400657
percent,USPS,4,25,0.1,3,3,0.7339004779761418
percent,USPS,4,25,0.125,3,3,0.722494849101785
percent,USPS,4,25,0.15,3,3,0.7002306074683445
percent,USPS,4,25,0.175,3,3,0.6962733824068925
percent,USPS,4,25,0.2,3,3,0.6813912264763081
percent,USPS,4,25,0.225,3,3,0.7081518486444357
percent,USPS,4,25,0.25,3,3,0.7018301310430366
n_check,USPS,4,25,0.1,2,3,0.7257723815078183
n_check,USPS,4,25,0.1,3,3,0.7339004779761418
n_check,USPS,4,25,0.1,4,3,0.7310720915859756
n_check,USPS,4,25,0.1,5,3,0.7239049784808786
n_check,USPS,4,25,0.1,6,3,0.7226273892236116
n_check,USPS,4,25,0.1,7,3,0.7060078920076001
T_stop,USPS,4,25,0.1,3,3,0.7339004779761418
T_stop,USPS,4,25,0.1,3,5,0.7357678376162861
T_stop,USPS,4,25,0.1,3,7,0.7394119470440399
T_stop,USPS,4,25,0.1,3,9,0.7301936413152256
T_stop,USPS,4,25,0.1,3,11,0.7375861035465258
T_stop,USPS,4,25,0.1,3,13,0.7362345596443697
